"Data_source","x","y","dsid","type","AUPRC_label"
"cGAN",0.408,0.924471299093656,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.409,0.924642049736247,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.41,0.924812030075188,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.411,0.924981245311328,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.412,0.925149700598802,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.413,0.925317401045556,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.414,0.92548435171386,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.415,0.925650557620818,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.416,0.925816023738872,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.417,0.925980754996299,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.418,0.926144756277696,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.419,0.926308032424466,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.42,0.926470588235294,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.421,0.926632428466618,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.422,0.926793557833089,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.423,0.926953981008035,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.424,0.927113702623907,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.425,0.927272727272727,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.426,0.927431059506531,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.427,0.927588703837799,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.428,0.927745664739884,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.429,0.927901946647441,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.43,0.928057553956835,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.431,0.928212491026561,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.432,0.92836676217765,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.433,0.928520371694067,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.433333333333333,0.928571428571429,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.434,0.92867332382311,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.435,0.928825622775801,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.436,0.928977272727273,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.437,0.929128277817151,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.438,0.929278642149929,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.439,0.929428369795342,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.44,0.929577464788732,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.441,0.929725931131413,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.442,0.929873772791024,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.443,0.930020993701889,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.444,0.930167597765363,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.445,0.930313588850174,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.446,0.930458970792768,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.447,0.930603747397641,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.448,0.930747922437673,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.449,0.930891499654457,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.45,0.931034482758621,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.451,0.931176875430144,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.452,0.931318681318681,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.453,0.931459904043866,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.454,0.931600547195622,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.455,0.931740614334471,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.456,0.931880108991826,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.457,0.932019034670292,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.458,0.932157394843962,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.459,0.9322951929587,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.46,0.932432432432432,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.461,0.932569116655428,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.462,0.932705248990579,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.463,0.932840832773674,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.464,0.932975871313673,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.465,0.933110367892977,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.466,0.93324432576769,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.466666666666667,0.933333333333333,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
