"MetaName","Method","Predictor","Estimate","Std..Error","t.value","P","Bonferroni","Bonferroni_observedData"
"C3","cGAN","age",0.000871914417302936,0.00399427278521796,0.218291154407311,0.827309825619236,FALSE,TRUE
"C3","missForest","age",0.00036410838076022,0.0039902482510253,0.0912495558808056,0.927338433063678,FALSE,TRUE
"C3","mice","age",-0.000107788764996835,0.00401911762328115,-0.0268190123057005,0.978617011557397,FALSE,TRUE
"C16","cGAN","age",0.0104354305707421,0.00399493238553751,2.61216700651068,0.00932426479210062,FALSE,TRUE
"C16","LEOPARD","age",0.017045954696209,0.00386651841439957,4.40860559016789,1.32752427287307e-05,TRUE,TRUE
"C16","missForest","age",0.00161645695651538,0.00397958953665559,0.406186854605572,0.684815181781751,FALSE,TRUE
"C16","mice","age",0.00465946567206028,0.00399824539759425,1.1653776116053,0.244537170417643,FALSE,TRUE
"C18","missForest","age",-0.00635586446669923,0.00393525625442872,-1.61510815453158,0.107049082604601,FALSE,TRUE
"C18","mice","age",0.00522925021572807,0.0040360879301937,1.29562346167149,0.195827154275986,FALSE,TRUE
"C18","LEOPARD","age",0.0167996097366617,0.00388438179063965,4.32491208180008,1.91438570670441e-05,TRUE,TRUE
"C18","cGAN","age",0.00731086034822476,0.00401318945070019,1.82170825425379,0.069220709655151,FALSE,TRUE
"C18:2","mice","age",0.000970788755604479,0.00403003850281906,0.24088820861771,0.809761010142579,FALSE,TRUE
"C18:2","missForest","age",-0.00503862028572486,0.00398868014360817,-1.26322996688496,0.207217485358176,FALSE,TRUE
"C18:2","cGAN","age",0.00403549583222702,0.00403601252285822,0.999871979923682,0.317956508562417,FALSE,TRUE
"C18:2","LEOPARD","age",0.0153097857486735,0.00383225739327278,3.99497846244581,7.65734606990179e-05,TRUE,TRUE
"SM (OH) C22:1","missForest","age",0.0120210355883789,0.00384060557894771,3.129984410342,0.0018719731858929,FALSE,FALSE
"SM (OH) C22:1","cGAN","age",0.00681688485459143,0.00387278256021208,1.7602033547213,0.0791117359970378,FALSE,FALSE
"SM (OH) C22:1","LEOPARD","age",0.0150520428006962,0.00377225381536487,3.99019884064728,7.80743836983261e-05,TRUE,FALSE
"SM (OH) C22:1","mice","age",-0.00411986057881451,0.00404239059334948,-1.0191643988071,0.308720122191073,FALSE,FALSE
"SM (OH) C24:1","LEOPARD","age",0.0149746128485038,0.00382604073694154,3.91386654719055,0.000106171866698862,TRUE,FALSE
"SM (OH) C24:1","mice","age",0.0043148779339491,0.00404190862541125,1.06753475494763,0.286352527966787,FALSE,FALSE
"SM (OH) C24:1","cGAN","age",0.00629142602729587,0.00390145021679682,1.61258651980475,0.107596362170731,FALSE,FALSE
"SM (OH) C24:1","missForest","age",0.0115066031411393,0.00386433925951324,2.97763792679753,0.00307546275651424,FALSE,FALSE
"C4","cGAN","age",0.000583388439102853,0.00400436108726287,0.145688269961094,0.884238387834689,FALSE,TRUE
"C4","LEOPARD","age",0.0135709651753364,0.00348452922608331,3.89463376393903,0.000114632952117099,TRUE,TRUE
"C4","missForest","age",0.00132113399369558,0.00402795255556511,0.327991448625748,0.743083939307912,FALSE,TRUE
"C4","mice","age",0.000745200580886213,0.00404783482354757,0.184098564632909,0.854026271147347,FALSE,TRUE
"Thr","LEOPARD","age",-0.0148560597873227,0.00397549851066177,-3.73690488060319,0.000212456685836195,TRUE,FALSE
"Thr","mice","age",-0.0138708600700254,0.0039893001447136,-3.47701590927077,0.000560697032697661,TRUE,FALSE
"Thr","cGAN","age",-0.00305102766670056,0.00403938729694101,-0.755319419113655,0.450486841807618,FALSE,FALSE
"Thr","missForest","age",-0.00585347249997913,0.00403202479390428,-1.45174516506658,0.147329841215805,FALSE,FALSE
"SM C16:0","cGAN","age",0.00410414016344124,0.00395596589803925,1.03745590058686,0.300128995024596,FALSE,FALSE
"SM C16:0","missForest","age",0.00494590282724577,0.00396658985691578,1.24689040350934,0.213142648948483,FALSE,FALSE
"SM C16:0","mice","age",0.00111439271900203,0.00403585539572642,0.276123054404295,0.782591337546059,FALSE,FALSE
"SM C16:0","LEOPARD","age",0.0139481545069697,0.00382974593652011,3.64205739445048,0.000304778208210389,TRUE,FALSE
"Orn","mice","age",0.000454049974413279,0.00404287287938746,0.112308743796583,0.910633042499854,FALSE,TRUE
"Orn","missForest","age",0.00264134099403187,0.00403995293706412,0.65380489208158,0.513600492515595,FALSE,TRUE
"Orn","cGAN","age",0.0104837622800468,0.00401446127122464,2.61149917055961,0.00934219408523771,FALSE,TRUE
"Orn","LEOPARD","age",0.0129027276358258,0.00369732852763865,3.48974334830514,0.000535392346730338,TRUE,TRUE
"SM (OH) C14:1","LEOPARD","age",0.0125873131776114,0.00373058603393028,3.37408467815184,0.000810424299092988,TRUE,FALSE
"SM (OH) C14:1","mice","age",0.00843281669745464,0.00392232219201275,2.14995512470313,0.0321374365023045,FALSE,FALSE
"SM (OH) C14:1","cGAN","age",0.0102331714630959,0.00386293979049285,2.6490631534773,0.00838034803728472,FALSE,FALSE
"SM (OH) C14:1","missForest","age",0.0111555141895681,0.00383628363869412,2.90789608908205,0.00383448813418501,FALSE,FALSE
"SM (OH) C22:2","LEOPARD","age",0.0110638935649408,0.0036422277478111,3.03767208725207,0.00253504429418264,FALSE,FALSE
"SM (OH) C22:2","missForest","age",0.0113509975000963,0.00381539146875322,2.97505448472514,0.003100927724155,FALSE,FALSE
"SM (OH) C22:2","cGAN","age",0.00605094209503049,0.00382224948532007,1.5830840237588,0.114165897702255,FALSE,FALSE
"SM (OH) C22:2","mice","age",-0.00171416864719624,0.00384784849994441,-0.445487562002767,0.656200302957337,FALSE,FALSE
"SM (OH) C16:1","LEOPARD","age",0.0106359188446515,0.00370873182281111,2.86780477877471,0.00434459841249497,FALSE,TRUE
"SM (OH) C16:1","missForest","age",0.0124140891398157,0.00379809759453077,3.26850188307217,0.0011714183579075,TRUE,TRUE
"SM (OH) C16:1","cGAN","age",0.00894547927206246,0.00379940477736485,2.35444228668543,0.0190167484822921,FALSE,TRUE
"SM (OH) C16:1","mice","age",0.013959637311875,0.00389558979887874,3.58344641827868,0.000379454706660835,TRUE,TRUE
"Gly","missForest","age",-0.00564518237559398,0.00395414779446198,-1.42766094466686,0.154143326998619,FALSE,FALSE
