"group","source","V1","V2"
"LEOPARD","Observed data (t1)",3.50012960357849,8.32629445486045
"LEOPARD","Observed data (t1)",0.866752537716874,9.46565076125269
"LEOPARD","Observed data (t1)",2.57348620747428,7.3062579211354
"LEOPARD","Observed data (t1)",2.3545586371935,8.43377264807416
"LEOPARD","Observed data (t1)",1.83069122605788,8.31612196197711
"LEOPARD","Observed data (t1)",4.04356244973474,7.32471895772846
"LEOPARD","Observed data (t1)",4.08792777493183,8.34083971591325
"LEOPARD","Observed data (t1)",0.93963962894672,7.723252508482
"LEOPARD","Observed data (t1)",2.47898533316782,7.44562982806076
"LEOPARD","Observed data (t1)",2.75002099225909,8.34386291606057
"LEOPARD","Observed data (t1)",4.24370247945257,8.5722733870742
"LEOPARD","Observed data (t1)",2.0674436550711,8.6270333213211
