"method","obsNum","PB","dataset"
"missForest","obsNum=200",0.221538461538461,"KORA metabolomics"
"missForest","obsNum=200",0.360307692307692,"KORA metabolomics"
"missForest","obsNum=200",0.189078947368421,"KORA metabolomics"
"missForest","obsNum=200",0.218,"KORA metabolomics"
"missForest","obsNum=200",0.193333333333333,"KORA metabolomics"
"missForest","obsNum=200",0.189923076923077,"KORA metabolomics"
"missForest","obsNum=200",0.21723404255319,"KORA metabolomics"
"missForest","obsNum=200",0.129152380952381,"KORA metabolomics"
"missForest","obsNum=200",0.156986301369863,"KORA metabolomics"
"missForest","obsNum=200",0.252237442922375,"KORA metabolomics"
"missForest","obsNum=200",0.16996694214876,"KORA metabolomics"
"missForest","obsNum=200",0.167291262135922,"KORA metabolomics"
"missForest","obsNum=200",0.144064220183486,"KORA metabolomics"
"missForest","obsNum=200",0.139574803149606,"KORA metabolomics"
"missForest","obsNum=200",0.183446808510638,"KORA metabolomics"
"missForest","obsNum=200",0.210904522613065,"KORA metabolomics"
"missForest","obsNum=200",0.155714285714286,"KORA metabolomics"
"missForest","obsNum=200",0.155223097112861,"KORA metabolomics"
"missForest","obsNum=200",0.138039215686275,"KORA metabolomics"
"missForest","obsNum=200",0.120101694915254,"KORA metabolomics"
"missForest","obsNum=200",0.139453044375645,"KORA metabolomics"
"missForest","obsNum=200",0.107061946902655,"KORA metabolomics"
"missForest","obsNum=200",0.141279069767442,"KORA metabolomics"
"missForest","obsNum=200",0.128897058823529,"KORA metabolomics"
"missForest","obsNum=200",0.142849035187287,"KORA metabolomics"
"missForest","obsNum=200",0.223107344632768,"KORA metabolomics"
"missForest","obsNum=200",0.127487684729064,"KORA metabolomics"
"missForest","obsNum=200",0.134151836734694,"KORA metabolomics"
"missForest","obsNum=50",0.173152610441767,"KORA metabolomics"
"missForest","obsNum=50",0.322626995645864,"KORA metabolomics"
"missForest","obsNum=50",0.358603603603604,"KORA metabolomics"
"missForest","obsNum=50",0.370338983050848,"KORA metabolomics"
"missForest","obsNum=50",0.239396551724138,"KORA metabolomics"
"missForest","obsNum=50",0.411322957198443,"KORA metabolomics"
