"Data_source","x","y","dsid","type","AUROC_label"
"cGAN",0.106,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.107,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.108,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.109,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.11,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.111,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.112,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.113,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.114,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.115,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.116,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.117,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.118,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.119,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.12,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.121,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.122,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.123,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.124,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.125,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.126,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.127,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.128,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.129,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.13,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.131,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.132,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.133,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.134,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.135,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.136,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.137,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.138,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.139,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.14,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.141,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.142,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.143,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.144,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.145,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.146,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.147,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.148,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.149,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.15,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.151,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.152,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.153,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.153846153846154,0.566666666666667,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.153846153846154,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.154,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.155,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.156,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.157,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.158,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.159,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.16,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.161,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.162,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.163,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.164,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.165,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.166,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.167,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.168,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.169,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.17,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.171,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.172,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.173,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.174,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.175,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.176,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.177,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.178,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.179,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.18,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.181,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.182,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.183,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.184,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.185,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.186,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.187,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.188,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.189,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.19,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.191,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.192,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.193,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.194,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.195,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.196,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.197,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.198,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.199,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.2,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.201,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.202,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.203,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.204,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.205,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.206,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.207,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.208,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.209,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.21,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.211,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.212,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.213,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.214,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.215,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.216,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.217,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.218,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.219,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.22,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.221,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.222,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.223,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.224,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.225,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.226,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.227,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.228,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.229,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.23,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.230769230769231,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.231,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.232,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.233,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.234,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.235,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.236,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.237,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.238,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.239,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.24,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.241,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.242,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.243,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.244,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.245,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.246,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.247,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
"cGAN",0.248,0.6,"1","Receiver Operating Characteristic Cruve","cGAN (AUROC=0.737)"
