"completion_task","observed_timepoint","obsNum","PB"
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.11885863
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.103085935
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.13071388
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.1549227
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.2540973
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.1783893
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.10669351
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.14904489
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.356839
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.32563594
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.5408007
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.22239241
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.16607067
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.19414605
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.19108284
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","0",0.23908655
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.13111655
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.26122993
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.27137923
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.23751584
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.20462331
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.3299385
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.13792814
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.16669594
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.1889838
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.20288132
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.2497256
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.15501924
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.21199693
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.21086372
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.13109505
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.118107215
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.12160693
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.11191621
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.16868639
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.11383044
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.122967586
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.11879595
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.14435853
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.2012528
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.12187694
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.09718299
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.1461766
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.14409353
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.2036227
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.2766885
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.20101194
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.17719966
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.19280957
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.19422671
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","100",0.1590954
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.13123487
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.26304543
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.24537678
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.19999397
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.19818859
